# List distributed by iblocklist.com
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#100) CINS Army:1.15.79.77-1.15.79.77
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#101) CINS Army:1.15.84.164-1.15.84.164
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#102) CINS Army:1.15.9.116-1.15.9.116
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#103) CINS Army:1.156.76.205-1.156.76.205
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#104) CINS Army:1.163.183.147-1.163.183.147
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#105) CINS Army:1.169.34.191-1.169.34.191
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#106) CINS Army:1.170.72.195-1.170.72.195
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#107) CINS Army:1.170.93.246-1.170.93.246
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#108) CINS Army:1.179.128.124-1.179.128.124
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#109) CINS Army:1.179.153.18-1.179.153.18
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#110) CINS Army:1.180.168.114-1.180.168.114
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#111) CINS Army:1.180.69.181-1.180.69.181
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#112) CINS Army:1.180.89.186-1.180.89.186
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#113) CINS Army:1.189.88.67-1.189.88.67
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#114) CINS Army:1.189.88.69-1.189.88.69
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#115) CINS Army:1.189.88.70-1.189.88.70
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#116) CINS Army:1.192.121.152-1.192.121.152
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#117) CINS Army:1.193.36.243-1.193.36.243
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#118) CINS Army:1.194.233.227-1.194.233.227
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#119) CINS Army:1.202.16.82-1.202.16.82
cinsscore_cins_army_based_on_ci_badguys_txt__npkuuhuxcsllnhoamkvm (#120) CINS Army:1.202.17.93-1.202.17.93
